;Data items are separated by 1 space
;Data items header must be listed below, cannot be changed
;Data items header must be consistent and data value
;You can choose a few data items
;The IMSI must be in front of ACC
PIN1 PUK1 PIN2 PUK2 ADM ICCID IMSI ACC MSISDN KI OPC
9768 00019364 9768 00019364 9664CA3D 000000000000028776 724900000014427 8001 0000000975 62553cdbbb8f5105049eb1b27e9a9b84 acf5f76a146794d3d42558f53fbc9766
5575 00017162 5575 00017162 86941751 000000000000024415 724900000004354 8001 0000014258 0e936906bf7e3946fdd02aa5e952aef7 0d9832ac54ea079bc4acb8481bf9033f
9981 00007495 9981 00007495 56E0C582 000000000000019829 724900000016661 8001 0000003945 7f0ce9885100724dae7a6eb81b44334d 882a09151287d41bbfee4dc13d3e8d8b
9335 00031664 9335 00031664 90A07582 000000000000031161 724900000011412 8001 0000007132 aa5189194aa8cca1f364b30bb7744872 48783fb702311722b632968e7b95218c
7079 00006811 7079 00006811 8AF0ECA0 000000000000001061 724900000019890 8001 0000011735 5fbef222fe3b5b16a8e7d212ec108e58 8c97a234c2431cb13b237963cb0f940f
6267 00021063 6267 00021063 56390197 000000000000002683 724900000026024 8001 0000021265 94746c16edcf9067257f4d32386c1e76 97dc06ff30ad72cd48d4b194225b4c16
4712 00002642 4712 00002642 40DF4F9D 000000000000002772 724900000029387 8001 0000001422 16487796b176abbf2264908ad0e3ce72 d3738504b7b593ff092b27a2ba7666a6
2703 00023237 2703 00023237 49F22B53 000000000000027273 724900000011251 8001 0000021762 d6e0825540df1b1c5bda72eca6ef5fcd 896a953ec520df9781f65265a6c8214c
4080 00026754 4080 00026754 4732BC52 000000000000016517 724900000027555 8001 0000025559 237fc041e740544ab8a2fac9e6a5406d babe60a653a010395c037eb679046889
8106 00003600 8106 00003600 59AF7862 000000000000008325 724900000027388 8001 0000023059 69abb5797e0b930141d7faf6bba830f7 af68dcd5aad8d88daf17d7eeedcea753
9281 00003542 9281 00003542 3FEF1A73 000000000000021209 724900000005694 8001 0000010233 27a244eadd915d655bf5863ad134e76d 2f6fc8dafd64e4d82b05f88c4bc8a7ae
2840 00030614 2840 00030614 3B19894C 000000000000005973 724900000024445 8001 0000011823 b20d12d80749f50331468a8d3797f40d 05790c21058097df19576662b57c7ac0
6022 00017435 6022 00017435 D24A5666 000000000000020480 724900000013856 8001 0000010578 0b35d3b625d261a80d85c2da4ee098c7 f59811dfd42cfffe0a33c9f9e1bf96c8
1026 00020930 1026 00020930 583CDD3B 000000000000006849 724900000031059 8001 0000019205 ebdf15e214b765da8dcd07711a5672e9 4197a11329a13d3d90e389556f08a8a1
6795 00024966 6795 00024966 46DACA48 000000000000012549 724900000005671 8001 0000006204 fcc540edd002dba4c6fe4497f45d9ddf 70ec728a9860d141b69827e078d4af50
5233 00025063 5233 00025063 C0B09E2A 000000000000026432 724900000019418 8001 0000003140 ab1c69235afdb03afa15a8c016dae454 e77bcc3ec53891575049bf7b429ac853
2285 00019815 2285 00019815 59F041EE 000000000000007737 724900000003949 8001 0000028945 17e9068cdad70f9c2b410e19e0c9d428 aa4e5dcd417aff852c0b241ff5b10358
2128 00028754 2128 00028754 9B0C9C4E 000000000000027318 724900000017845 8001 0000014407 025c5d88cccef88fe617fdad653f90b8 6e5d8ede919005df8cb4d62a86c8e0c3
